1.1994,1.2617,3.6161,2.1174,0.98336,1.6552,1.8964,1.5194,0
1.2368,1.9752,1.7102,2.0242,0.98429,2.5079,2.1732,2.7709,0
1.2557,1.733,2.8211,4.4227,1.369,2.0468,1.9336,4.0862,0
1.4131,2.1698,2.2862,2.8828,1.2238,3.2544,2.9287,2.4141,0
1.233,2.7552,2.6912,1.962,1.3036,2.4151,2.6975,2.4132,0
1.2707,2.1035,1.5014,1.3187,1.114,1.1696,1.5172,2.0389,0
1.0683,1.3232,2.379,1.137,1.1948,1.4553,1.5386,1.4472,0
1.2687,1.3666,2.213,1.6065,1.0158,1.178,2.7529,2.3808,0
1.4389,1.6501,2.4676,1.3654,0.92954,1.6804,1.8772,2.2492,0
1.1784,2.0146,1.5987,1.3349,1.0063,1.5161,2.2778,2.1132,0
1.2296,1.9078,1.3933,3.4038,1.0781,1.2894,2.5785,1.802,0
1.173,1.2344,1.9241,1.1412,1.1682,1.0395,2.1975,1.7177,0
1.1334,1.6278,1.5392,1.9577,0.88702,1.1403,1.4027,1.6027,0
1.1379,1.4156,1.3812,1.1177,0.99183,1.2828,1.5226,1.4065,0
0,0,0,0,0,0,0,0,0
